0 0 0 0 0 0
0 0 1 0 0 1
0 0 2 0 0 2
0 0 3 0 0 3
0 0 4 0 0 4
0 0 5 0 0 5
0 0 6 0 0 6
0 1 0 0 1 0
0 1 1 0 1 1
0 1 2 0 1 2
0 1 3 0 1 3
0 1 4 0 1 4
0 1 5 0 1 5
0 1 6 0 1 6
0 2 0 0 2 0
0 2 1 0 2 1
0 2 2 0 2 2
0 2 3 0 2 3
0 2 4 0 2 4
0 2 5 0 2 5
0 2 6 0 2 6
1 0 0 1 0 0
1 0 1 1 0 1
1 0 2 1 0 2
1 0 3 1 0 3
1 0 4 1 0 4
1 0 5 1 0 5
1 0 6 1 0 6
1 1 0 1 1 0
1 1 1 1 1 1
1 1 2 1 1 2
1 1 3 1 1 3
1 1 4 1 1 4
1 1 5 1 1 5
1 1 6 1 1 6
1 2 0 1 2 0
1 2 1 1 2 1
1 2 2 1 2 2
1 2 3 1 2 3
1 2 4 1 2 4
1 2 5 1 2 5
1 2 6 1 2 6
2 0 0 2 0 0
2 0 1 2 0 1
2 0 2 2 0 2
2 0 3 2 0 3
2 0 4 2 0 4
2 0 5 2 0 5
2 0 6 2 0 6
2 1 0 2 1 0
2 1 1 2 1 1
2 1 2 2 1 2
2 1 3 2 1 3
2 1 4 2 1 4
2 1 5 2 1 5
2 1 6 2 1 6
2 2 0 2 2 0
2 2 1 2 2 1
2 2 2 2 2 2
2 2 3 2 2 3
2 2 4 2 2 4
2 2 5 2 2 5
2 2 6 2 2 6
3 0 0 3 0 0
3 0 1 3 0 1
3 0 2 3 0 2
3 0 3 3 0 3
3 0 4 3 0 4
3 0 5 3 0 5
3 0 6 3 0 6
3 1 0 3 1 0
3 1 1 3 1 1
3 1 2 3 1 2
3 1 3 3 1 3
3 1 4 3 1 4
3 1 5 3 1 5
3 1 6 3 1 6
3 2 0 3 2 0
3 2 1 3 2 1
3 2 2 3 2 2
3 2 3 3 2 3
3 2 4 3 2 4
3 2 5 3 2 5
3 2 6 3 2 6
4 0 0 4 0 0
4 0 1 4 0 1
4 0 2 4 0 2
4 0 3 4 0 3
4 0 4 4 0 4
4 0 5 4 0 5
4 0 6 4 0 6
4 1 0 4 1 0
4 1 1 4 1 1
4 1 2 4 1 2
4 1 3 4 1 3
4 1 4 4 1 4
4 1 5 4 1 5
4 1 6 4 1 6
4 2 0 4 2 0
4 2 1 4 2 1
4 2 2 4 2 2
4 2 3 4 2 3
4 2 4 4 2 4
4 2 5 4 2 5
4 2 6 4 2 6
5 0 0 5 0 0
5 0 1 5 0 1
5 0 2 5 0 2
5 0 3 5 0 3
5 0 4 5 0 4
5 0 5 5 0 5
5 0 6 5 0 6
5 1 0 5 1 0
5 1 1 5 1 1
5 1 2 5 1 2
5 1 3 5 1 3
5 1 4 5 1 4
5 1 5 5 1 5
5 1 6 5 1 6
5 2 0 5 2 0
5 2 1 5 2 1
5 2 2 5 2 2
5 2 3 5 2 3
5 2 4 5 2 4
5 2 5 5 2 5
5 2 6 5 2 6
6 0 0 6 0 0
6 0 1 6 0 1
6 0 2 6 0 2
6 0 3 6 0 3
6 0 4 6 0 4
6 0 5 6 0 5
6 0 6 6 0 6
6 1 0 6 1 0
6 1 1 6 1 1
6 1 2 6 1 2
6 1 3 6 1 3
6 1 4 6 1 4
6 1 5 6 1 5
6 1 6 6 1 6
6 2 0 6 2 0
6 2 1 6 2 1
6 2 2 6 2 2
6 2 3 6 2 3
6 2 4 6 2 4
6 2 5 6 2 5
6 2 6 6 2 6
0 0 8 0 0 8
0 0 9 0 0 9
0 0 10 0 0 10
0 0 11 0 0 11
0 0 12 0 0 12
0 0 13 0 0 13
0 0 14 0 0 14
0 1 8 0 1 8
0 1 9 0 1 9
0 1 10 0 1 10
0 1 11 0 1 11
0 1 12 0 1 12
0 1 13 0 1 13
0 1 14 0 1 14
0 2 8 0 2 8
0 2 9 0 2 9
0 2 10 0 2 10
0 2 11 0 2 11
0 2 12 0 2 12
0 2 13 0 2 13
0 2 14 0 2 14
1 0 8 1 0 8
1 0 9 1 0 9
1 0 10 1 0 10
1 0 11 1 0 11
1 0 12 1 0 12
1 0 13 1 0 13
1 0 14 1 0 14
1 1 8 1 1 8
1 1 9 1 1 9
1 1 10 1 1 10
1 1 11 1 1 11
1 1 12 1 1 12
1 1 13 1 1 13
1 1 14 1 1 14
1 2 8 1 2 8
1 2 9 1 2 9
1 2 10 1 2 10
1 2 11 1 2 11
1 2 12 1 2 12
1 2 13 1 2 13
1 2 14 1 2 14
2 0 8 2 0 8
2 0 9 2 0 9
2 0 10 2 0 10
2 0 11 2 0 11
2 0 12 2 0 12
2 0 13 2 0 13
2 0 14 2 0 14
2 1 8 2 1 8
2 1 9 2 1 9
2 1 10 2 1 10
2 1 11 2 1 11
2 1 12 2 1 12
2 1 13 2 1 13
2 1 14 2 1 14
2 2 8 2 2 8
2 2 9 2 2 9
2 2 10 2 2 10
2 2 11 2 2 11
2 2 12 2 2 12
2 2 13 2 2 13
2 2 14 2 2 14
3 0 8 3 0 8
3 0 9 3 0 9
3 0 10 3 0 10
3 0 11 3 0 11
3 0 12 3 0 12
3 0 13 3 0 13
3 0 14 3 0 14
3 1 8 3 1 8
3 1 9 3 1 9
3 1 10 3 1 10
3 1 11 3 1 11
3 1 12 3 1 12
3 1 13 3 1 13
3 1 14 3 1 14
3 2 8 3 2 8
3 2 9 3 2 9
3 2 10 3 2 10
3 2 11 3 2 11
3 2 12 3 2 12
3 2 13 3 2 13
3 2 14 3 2 14
4 0 8 4 0 8
4 0 9 4 0 9
4 0 10 4 0 10
4 0 11 4 0 11
4 0 12 4 0 12
4 0 13 4 0 13
4 0 14 4 0 14
4 1 8 4 1 8
4 1 9 4 1 9
4 1 10 4 1 10
4 1 11 4 1 11
4 1 12 4 1 12
4 1 13 4 1 13
4 1 14 4 1 14
4 2 8 4 2 8
4 2 9 4 2 9
4 2 10 4 2 10
4 2 11 4 2 11
4 2 12 4 2 12
4 2 13 4 2 13
4 2 14 4 2 14
5 0 8 5 0 8
5 0 9 5 0 9
5 0 10 5 0 10
5 0 11 5 0 11
5 0 12 5 0 12
5 0 13 5 0 13
5 0 14 5 0 14
5 1 8 5 1 8
5 1 9 5 1 9
5 1 10 5 1 10
5 1 11 5 1 11
5 1 12 5 1 12
5 1 13 5 1 13
5 1 14 5 1 14
5 2 8 5 2 8
